id	Question	Gold answers	Model answer	Acceptable?	BEM probs per gold answer
460	who won the ncaa women's championship last year 2017	South Carolina Gamecocks | South Carolina	South Carolina Gamecocks	Yes	"[[0.009006967768073082, 0.9909930229187012], [0.011563620530068874, 0.9884363412857056]]"
461	who won the ncaa women's championship last year 2017	South Carolina Gamecocks | South Carolina	The South Carolina Gamecocks won the 2017 NCAA Women's Basketball Championship.	Yes	"[[0.009601358324289322, 0.990398645401001], [0.010628399439156055, 0.9893717169761658]]"
462	who won the ncaa women's championship last year 2017	South Carolina Gamecocks | South Carolina	University of South Carolina	Yes	"[[0.5101889967918396, 0.4898110330104828], [0.013043023645877838, 0.9869570136070251]]"
463	who won the ncaa women's championship last year 2017	South Carolina Gamecocks | South Carolina	South Carolina	Yes	"[[0.36861154437065125, 0.6313883662223816], [0.00969240628182888, 0.9903075098991394]]"
464	5 cities with the highest population in europe	Moscow | Berlin | Saint Petersburg | Istanbul | London	Istanbul	Yes	"[[0.9351755380630493, 0.06482444703578949], [0.948074221611023, 0.05192567780613899], [0.9495911002159119, 0.05040889233350754], [0.1020614355802536, 0.8979385495185852], [0.9441367387771606, 0.055863168090581894]]"
465	5 cities with the highest population in europe	Moscow | Berlin | Saint Petersburg | Istanbul | London	Paris	No	"[[0.9355418682098389, 0.06445810198783875], [0.9505575299263, 0.049442462623119354], [0.9469649791717529, 0.053034987300634384], [0.9400216937065125, 0.059978287667036057], [0.9454965591430664, 0.05450347438454628]]"
466	5 cities with the highest population in europe	Moscow | Berlin | Saint Petersburg | Istanbul | London	London	Yes	"[[0.9407788515090942, 0.05922114476561546], [0.9510854482650757, 0.04891448840498924], [0.9520537257194519, 0.04794614762067795], [0.9435857534408569, 0.056414175778627396], [0.19980785250663757, 0.8001921772956848]]"
467	5 cities with the highest population in europe	Moscow | Berlin | Saint Petersburg | Istanbul | London	vatican city	No	"[[0.9415857791900635, 0.058414276689291], [0.9528826475143433, 0.047117337584495544], [0.9517608880996704, 0.048239145427942276], [0.9430703520774841, 0.05692972242832184], [0.947897732257843, 0.05210220813751221]]"
468	5 cities with the highest population in europe	Moscow | Berlin | Saint Petersburg | Istanbul | London	"The five cities with the highest population in Europe are Istanbul, Moscow, London, Saint Petersburg, and Berlin."	Yes	"[[0.010521117597818375, 0.9894788265228271], [0.010729994624853134, 0.989270031452179], [0.012211939319968224, 0.9877880811691284], [0.010347235947847366, 0.9896527528762817], [0.009991905651986599, 0.9900080561637878]]"
469	5 cities with the highest population in europe	Moscow | Berlin | Saint Petersburg | Istanbul | London	"Istanbul , Moscow , London , Saint Petersburg , Berlin"	Yes	"[[0.4060118496417999, 0.5939881205558777], [0.22705982625484467, 0.7729401588439941], [0.15000925958156586, 0.8499907851219177], [0.23090429604053497, 0.7690956592559814], [0.46396636962890625, 0.5360336303710938]]"
470	who were the twins that played for kentucky	Andrew Michael Harrison | Aaron Harrison	Harrison	Yes	"[[0.43529510498046875, 0.5647048354148865], [0.43836289644241333, 0.5616371035575867]]"
471	who were the twins that played for kentucky	Andrew Michael Harrison | Aaron Harrison	Andrew	Yes	"[[0.35636213421821594, 0.6436378955841064], [0.95231032371521, 0.047689665108919144]]"
472	who were the twins that played for kentucky	Andrew Michael Harrison | Aaron Harrison	Aaron and Andrew Harrison	Yes	"[[0.26220235228538513, 0.7377975583076477], [0.015365147963166237, 0.9846348762512207]]"
473	who were the twins that played for kentucky	Andrew Michael Harrison | Aaron Harrison	"The Morris twins, Marcus and Markieff, played for the University of Kentucky from 2008 to 2011."	No	"[[0.6954351663589478, 0.3045649230480194], [0.6737267374992371, 0.32627320289611816]]"
474	who were the twins that played for kentucky	Andrew Michael Harrison | Aaron Harrison	Aaron and Andrew	No	"[[0.5257470607757568, 0.4742529094219208], [0.5213456749916077, 0.4786543846130371]]"
475	who were the twins that played for kentucky	Andrew Michael Harrison | Aaron Harrison	Andrew Harrison	Yes	"[[0.15114827454090118, 0.8488517999649048], [0.5472107529640198, 0.45278918743133545]]"
476	who were the twins that played for kentucky	Andrew Michael Harrison | Aaron Harrison	Daron	No	"[[0.9562317132949829, 0.043768271803855896], [0.9570465087890625, 0.04295345023274422]]"
477	who were the twins that played for kentucky	Andrew Michael Harrison | Aaron Harrison	Aaron	Yes	"[[0.9500813484191895, 0.04991869255900383], [0.3557824194431305, 0.6442175507545471]]"
478	who presides over the joint sessions of parliament	President	the Speaker	No	"[[0.940204918384552, 0.059795066714286804]]"
479	who presides over the joint sessions of parliament	President	The President of India	Yes	"[[0.01569492369890213, 0.9843050241470337]]"
480	who presides over the joint sessions of parliament	President	The President of India presides over the joint sessions of Parliament.	Yes	"[[0.009599440731108189, 0.9904006719589233]]"
481	who presides over the joint sessions of parliament	President	presided over by speaker	No	"[[0.931389570236206, 0.06861045956611633]]"
482	who presides over the joint sessions of parliament	President	presided over by the speaker	No	"[[0.9356650710105896, 0.06433496624231339]]"
483	who presides over the joint sessions of parliament	President	Speaker	No	"[[0.9393221735954285, 0.06067768111824989]]"
484	when was the minimum wage established in the united states	1933 | 1912 | 1938	"July 24, 2009"	No	"[[0.9612259864807129, 0.03877413645386696], [0.9571147561073303, 0.0428851954638958], [0.9595884680747986, 0.040411531925201416]]"
485	when was the minimum wage established in the united states	1933 | 1912 | 1938	1938	Yes	"[[0.946112871170044, 0.053887102752923965], [0.9502317309379578, 0.049768269062042236], [0.014014629647135735, 0.9859853386878967]]"
486	when was the minimum wage established in the united states	1933 | 1912 | 1938	July 24 2009	No	"[[0.95914226770401, 0.04085782170295715], [0.9552379250526428, 0.04476210102438927], [0.9569358825683594, 0.043064091354608536]]"
487	when was the minimum wage established in the united states	1933 | 1912 | 1938	The minimum wage was established in the United States in 1938.	Yes	"[[0.7392119765281677, 0.2607879042625427], [0.6812373399734497, 0.3187626004219055], [0.012418102473020554, 0.9875820279121399]]"
488	when was the rock and roll hall of fame built in cleveland	1995 | September 1995	"September 1, 1995"	Yes	"[[0.010426177643239498, 0.9895737171173096], [0.009407605044543743, 0.9905924201011658]]"
489	when was the rock and roll hall of fame built in cleveland	1995 | September 1995	"September 2 , 1995"	Yes	"[[0.010313134640455246, 0.989686906337738], [0.00901740975677967, 0.9909825325012207]]"
490	when was the rock and roll hall of fame built in cleveland	1995 | September 1995	1997	No	"[[0.9125574231147766, 0.08744248747825623], [0.9186549186706543, 0.08134506642818451]]"
491	when was the rock and roll hall of fame built in cleveland	1995 | September 1995	The Rock and Roll Hall of Fame was built in Cleveland in 1995.	Yes	"[[0.011278175748884678, 0.9887219667434692], [0.021197978407144547, 0.978801965713501]]"
492	when was the rock and roll hall of fame built in cleveland	1995 | September 1995	"June 7, 1993"	No	"[[0.9435621500015259, 0.05643785372376442], [0.9298118352890015, 0.0701882615685463]]"
493	how many rooms is there in buckingham palace	775 | 775 rooms	There are 775 rooms in Buckingham Palace.	Yes	"[[0.012592332437634468, 0.9874076247215271], [0.011238787323236465, 0.9887613654136658]]"
494	how many rooms is there in buckingham palace	775 | 775 rooms	"over 1,100"	No	"[[0.9593920111656189, 0.0406079925596714], [0.9592921733856201, 0.040707845240831375]]"
495	how many rooms is there in buckingham palace	775 | 775 rooms	775	Yes	"[[0.009708034805953503, 0.990291953086853], [0.009105649776756763, 0.9908943176269531]]"
496	where is the citrus bowl held this year	Camping World Stadium	Camping World Stadium	Yes	"[[0.010043969377875328, 0.9899560213088989]]"
497	where is the citrus bowl held this year	Camping World Stadium	"The 2021 Citrus Bowl will be held at Camping World Stadium in Orlando, Florida."	Yes	"[[0.012056838721036911, 0.9879432916641235]]"
498	where is the citrus bowl held this year	Camping World Stadium	"January 1, 2018"	No	"[[0.9673544764518738, 0.03264550492167473]]"
499	where is the citrus bowl held this year	Camping World Stadium	"Orlando, Florida"	No	"[[0.966630220413208, 0.033369679003953934]]"
500	where is the citrus bowl held this year	Camping World Stadium	January 1 2018	No	"[[0.9653530716896057, 0.03464682027697563]]"
501	the chinese dragons are protectors of how many seas diggy	Four | Four Seas	Unknown.	No	"[[0.9471321702003479, 0.052867744117975235], [0.9551184177398682, 0.0448816642165184]]"
502	the chinese dragons are protectors of how many seas diggy	Four | Four Seas	all waters	No	"[[0.9441235661506653, 0.05587638169527054], [0.9494409561157227, 0.05055900663137436]]"
503	the chinese dragons are protectors of how many seas diggy	Four | Four Seas	four	Yes	"[[0.012626664713025093, 0.9873732924461365], [0.012318862602114677, 0.9876810908317566]]"
504	who is the present president of assam sahitya sabha	Dhrubajyoti Bora	Tarun Ram Phukan	No	"[[0.9620174765586853, 0.03798244148492813]]"
505	who is the present president of assam sahitya sabha	Dhrubajyoti Bora	Kanaksen Deka	No	"[[0.960670530796051, 0.03932945057749748]]"
506	who is the present president of assam sahitya sabha	Dhrubajyoti Bora	ram nath kovind	No	"[[0.9583812952041626, 0.04161873459815979]]"
507	who is the present president of assam sahitya sabha	Dhrubajyoti Bora	Vishwanath Prasad Tiwari	No	"[[0.9592544436454773, 0.040745534002780914]]"
508	who is the present president of assam sahitya sabha	Dhrubajyoti Bora	The current president of Assam Sahitya Sabha is Dr. Nagen Saikia.	No	"[[0.754225492477417, 0.24577447772026062]]"
509	who is the present president of assam sahitya sabha	Dhrubajyoti Bora	dr. r. sabhapandit	No	"[[0.9239774346351624, 0.07602257281541824]]"
510	who is the present president of assam sahitya sabha	Dhrubajyoti Bora	Padmanath Gohain Baruah	No	"[[0.9603352546691895, 0.03966480866074562]]"
511	who is the present president of assam sahitya sabha	Dhrubajyoti Bora	Dr. Dhrubajyoti Bora	Yes	"[[0.012566616758704185, 0.9874334335327148]]"
512	who is the present president of assam sahitya sabha	Dhrubajyoti Bora	Ripun Bora	No	"[[0.7986205220222473, 0.20137950778007507]]"
513	who has the power to approve or veto legislation constitution	the President	President	Yes	"[[0.00889492966234684, 0.9911050796508789]]"
514	who has the power to approve or veto legislation constitution	the President	The President of the United States has the power to approve or veto legislation passed by Congress.	Yes	"[[0.01670076884329319, 0.9832991361618042]]"
515	who has the power to approve or veto legislation constitution	the President	the President	Yes	"[[0.009210187010467052, 0.9907897710800171]]"
516	who has the power to approve or veto legislation constitution	the President	President of the United States	Yes	"[[0.011428938247263432, 0.988571047782898]]"
517	who has the power to approve or veto legislation constitution	the President	congress	No	"[[0.9432077407836914, 0.05679219216108322]]"
518	who plays artemisia in 300 rise of an empire	Eva Green | Caitlin Carmichael | Jade Chynoweth	eva green	Yes	"[[0.011208555661141872, 0.9887914657592773], [0.9595017433166504, 0.04049826040863991], [0.9610627889633179, 0.038937121629714966]]"
519	who plays artemisia in 300 rise of an empire	Eva Green | Caitlin Carmichael | Jade Chynoweth	Eva Green.	Yes	"[[0.011257796548306942, 0.9887422919273376], [0.9552685022354126, 0.04473138973116875], [0.9561293721199036, 0.04387056827545166]]"
520	who plays artemisia in 300 rise of an empire	Eva Green | Caitlin Carmichael | Jade Chynoweth	lena headey	No	"[[0.9545189142227173, 0.04548095166683197], [0.9594087600708008, 0.04059115797281265], [0.9604539275169373, 0.03954605013132095]]"
521	who played cory's older brother on boy meets world	Will Friedle	Eric Matthews (Will Friedle)	Yes	"[[0.016106469556689262, 0.9838935732841492]]"
522	who played cory's older brother on boy meets world	Will Friedle	william alan friedle	Yes	"[[0.13489900529384613, 0.8651009798049927]]"
523	who played cory's older brother on boy meets world	Will Friedle	Will Friedle.	Yes	"[[0.010605612769722939, 0.98939448595047]]"
524	who played cory's older brother on boy meets world	Will Friedle	Will Friedle	Yes	"[[0.010904211550951004, 0.9890957474708557]]"
525	where are the organ mountains in new mexico	southern New Mexico	"The Organ Mountains are located in Doña Ana County, New Mexico."	Yes	"[[0.4185803234577179, 0.5814197063446045]]"
526	where are the organ mountains in new mexico	southern New Mexico	southern new mexico	Yes	"[[0.012165239080786705, 0.9878348112106323]]"
527	where are the organ mountains in new mexico	southern New Mexico	dona ana county	No	"[[0.9545571804046631, 0.04544275254011154]]"
528	where are the organ mountains in new mexico	southern New Mexico	Las Cruces	No	"[[0.95676189661026, 0.04323824495077133]]"
529	when is last time the astros won the world series	2017	2017	Yes	"[[0.01058819517493248, 0.9894117712974548]]"
530	when is last time the astros won the world series	2017	The Houston Astros won the 2017 World Series.	Yes	"[[0.012256579473614693, 0.9877434968948364]]"
531	how many walker texas ranger seasons are there	Eight | 8	9	Yes	"[[0.9173513650894165, 0.0826486349105835], [0.42559126019477844, 0.5744087100028992]]"
532	how many walker texas ranger seasons are there	Eight | 8	"There are nine seasons of Walker, Texas Ranger."	Yes	"[[0.010004588402807713, 0.9899953603744507], [0.02058999054133892, 0.9794099926948547]]"
533	how many walker texas ranger seasons are there	Eight | 8	8	Yes	"[[0.3896438181400299, 0.6103562712669373], [0.011103366501629353, 0.9888966083526611]]"
534	how many walker texas ranger seasons are there	Eight | 8	eight	Yes	"[[0.01069069467484951, 0.9893092513084412], [0.011872213333845139, 0.9881278872489929]]"
535	what is the name of the lymphatic vessels located in the small intestine	A lacteal | lacteals | lacteal	vasa recta	No	"[[0.962055504322052, 0.03794450685381889], [0.9659299254417419, 0.03407002612948418], [0.961871325969696, 0.03812871500849724]]"
